,identifier,title,creator,date_created,date_issued,depositor,box,folder,type_of_resource,genre
104,31735060482001,Appeal to Reason Promotional Letter,,,,University of Pittsburgh,14,56,text,archival document
105,31735061537639,"A ""Comrade"" During the Arizona Disorders,",,1936-04-18,,University of Pittsburgh,4,163,still image,archival document
106,31735066227954,"Red Tape and Barbed Wire, by Sender Garlin,",,1952,,University of Pittsburgh,2,28,text,archival document
107,31735060482555,Anti-War Protestor,,,,University of Pittsburgh,12,45,text,archival document
108,31735066228572,"Are There Classes in America?, by Ralph Korkngold",,,,University of Pittsburgh,10,99,text,archival document
109,31735067913164,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1965-10,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
110,31735061543835,"""Wages in Mexican Money"", By Mary E. Marcy",,,,University of Pittsburgh,10,80,text,archival document
111,31735061659292,"""The Menace of a New World War"", By William Z. Foster,",,1946-03,,University of Pittsburgh,3,144,text,archival document
112,31735047450675,"""Vets Can't Eat Medals"" UE Program of Veterans",,,,University of Pittsburgh,37,69,text,archival document
113,31735066249172,"New Theatre,",,1936-11,,University of Pittsburgh,33,2,text,archival document
114,31735061659839,"""The Year of Great Decision, 1942"", By Robert Minor,",,1942-05,,University of Pittsburgh,3,37,text,archival document
115,31735065150397,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1954-02-15,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
116,31735061656678,"""Everything for Unity and Victory"", By William Schneiderman",,,,University of Pittsburgh,4,119,text,archival document
117,31735061538348,"""Women of New York, WPA Cuts Threaten Your Standard of Living"" Flyer",,,,University of Pittsburgh,6,2,text,archival document
118,31735061540336,"""Stock Ownership and the Control of Corporations"", By Don Villarejo",,,,University of Pittsburgh,7,104,text,archival document
119,31735066227731,"Negro History Week,",,1951,,University of Pittsburgh,1,12,text,archival document
120,31735061544791,SPU Program Statement,,,,University of Pittsburgh,11,147,text,archival document
121,31735061659201,"""Constitution of the Communist Political Association""",,,,University of Pittsburgh,4,37,text,archival document
122,31735061542498,"Rustin, McReynolds, and Barton Lecture Flyer,",,1961-10-01,,University of Pittsburgh,11,191,text,archival document
123,31735058194378,"The Kodak Worker, V.1, N. 8,",,1928-09,,University of Pittsburgh,4,15,text,archival document
